Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
Make Product Search and Listings,ESA-53,10067,Epic,In Progress,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,29/Mar/25 4:50 PM,29/Mar/25 5:18 PM,21/Apr/25 3:49 PM,,,,,0,,Make product search with validation,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-7,,,Make Product Search and Listings,To Do,,,purple,,,,,0|i000a7:,,,,,,,,,,,,,,,,,,In Progress,29/Mar/25 4:51 PM
Make User Auth Module,ESA-52,10066,Epic,In Progress,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,29/Mar/25 4:38 PM,29/Mar/25 5:18 PM,29/Mar/25 5:15 PM,,,,,0,,"Make User Login,

Make User Sign Feature,

Forget Password",,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},ghx-label-7,,,Make User Auth Module,To Do,,,purple,,,,,0|i0009z:,,,,,,,,,,,,,,,29/Mar/25 4:40 PM;63e5364a28cddcc70775fefb;Can we develop the email confirmation as well?,,,In Progress,29/Mar/25 4:43 PM
 Perform code review,ESA-51,10050,Sub-task,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:21 PM,23/Mar/25 2:27 PM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002m:v,,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,22/Mar/25 7:21 PM
  Fix bugs,ESA-50,10049,Sub-task,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:21 PM,23/Mar/25 2:27 PM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002m:r,,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,22/Mar/25 7:21 PM
Run acceptance tests,ESA-49,10048,Sub-task,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:21 PM,23/Mar/25 2:27 PM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002m:i,,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,22/Mar/25 7:21 PM
Write unit tests and code for cart mobile service,ESA-48,10047,Sub-task,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:21 PM,23/Mar/25 2:27 PM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002m:,,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,22/Mar/25 7:21 PM
Write and review acceptance tests,ESA-47,10046,Sub-task,To Do,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:21 PM,23/Mar/25 2:27 PM,,,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0002l:,,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,22/Mar/25 7:21 PM
Run acceptance tests,ESA-46,10045,Sub-task,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:12 PM,24/Mar/25 1:29 AM,,24/Mar/25 1:29 AM,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0009r:,,,ESA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_11486_*|*_10003_*:*_1_*:*_108991319_*|*_10005_*:*_1_*:*_0,,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",Done,24/Mar/25 1:29 AM
Write unit tests and code for back end,ESA-45,10044,Sub-task,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:12 PM,24/Mar/25 1:29 AM,,24/Mar/25 1:29 AM,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0009j:,,,ESA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_11332_*|*_10003_*:*_1_*:*_108999626_*|*_10005_*:*_1_*:*_0,,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",Done,24/Mar/25 1:29 AM
Write unit tests and code for front end,ESA-44,10043,Sub-task,Done,ESA,E-Commerce Shopping App,software,Edutainment TV,63e5364a28cddcc70775fefb,,Medium,Done,,,Edutainment TV,63e5364a28cddcc70775fefb,Edutainment TV,63e5364a28cddcc70775fefb,22/Mar/25 7:12 PM,24/Mar/25 1:29 AM,,24/Mar/25 1:29 AM,Version 1,,,0,,,,Edutainment TV,63e5364a28cddcc70775fefb,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0009b:,,,ESA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_14263_*|*_10003_*:*_1_*:*_109002721_*|*_10005_*:*_1_*:*_0,,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items.",Done,24/Mar/25 1:29 AM
